label,text
3,风可以加快水的蒸发，升温可以加快水的蒸发
3,头发上水蒸发吸热所以感觉冷，吹风机吹风加快空气流动，加快蒸发，风是暖的，水受热温度上升，蒸发加快，风暖和，头发受热感受不到冷
1,头发里水分的汽化吸热，会感觉到冷，吹风机里温暖的空气，补充汽化所散失的热量，且吹风机下流动快。
3,水分温度升高，空气流动加快，加快了水的蒸发
1,空气吹风使周围空气流速大，且周围空气温度升高，所以头发吹干
1,温度高，分子运动加剧，水吸热速率加快蒸发速率加快，水更快地汽化为水蒸气。
2,热空气可以提高蒸发速率，蒸发吸热，提供热量可以加快头发上小水珠蒸发。
1,①提高风的温度②加快空气流通速度可以加快水蒸发很冷因为水蒸发吸热。
2,风速和高温加快了水的蒸发
1,水蒸发吸热，温暖的空气为其蒸发提供了更多热量，空气流动加大了空气与水的接触。
1,空气流速快，温度高，表面积大，蒸发越快
2,头发上有水，吹风机吹出的空气温度较高会促进蒸发，吹风机不断吹出空气促进蒸发。
1,增加头发表面空气流动速度，加快蒸发
1,水遇热分子做剧烈无规则运动，上方空气流速快，加快蒸发
2,头发上的小水珠在空气中遇热蒸发吸热，感觉很冷。吹风机可以加快空气的流动速度，加快了水的蒸发，并提高了头发的温度，所以头发很快变干。
3,头发是湿的，上面有水，水蒸发吸热，所以会感觉很冷。吹风机吹出温暖的空气（大约50℃）加快气体流动速率，升高温度，加快蒸发，所以很快头发就被吹干了。
3,吹风使头发加大了与空气接触面积，加上热空气风速快的流通，加快了头发上水分的挥发，使头发快干
2,风速和高温可以加速水分的蒸发。
3,蒸发吸热，所以感觉很冷。因为温度升高和液体上方空气流速增大，所以蒸发快。
0,水的比热容较大
3,头发上的水蒸发吸热，所以冷，吹风机吹风加快空气流速使蒸发变快，风是暖的，水受热温度上升，蒸发加快
3,湿的头发蒸发吸热所以会感觉很冷，用吹风机吹头发，增大了空气流动速度，增加了温度，使得水蒸发得更快，所以头发很快就吹干了
2,A、感觉很冷，头发上的水珠蒸发吸热。B、吹出暖风，暖空气与冷空气进行能量交换，使温度总体升高蒸发速率加快
2,水蒸发，加热可以使水蒸发加快
2,蒸发吸热，空气流速变大，蒸发快
3,头发上的水蒸发吸热，所以感觉冷，吹风机吹风加快空气流速，蒸发加快，吹出的风是暖的，水受热温度上升，蒸发加快。
1,吹风机增加空气流速，增加温度，加快水的蒸发。
3,空气流动和高温可以加速水蒸发
3,头发上的水珠蒸发吸热，所以感觉很冷，吹风机吹风加快空气流速，使蒸发速度变快，风是暖的，水受热温度上升，蒸发变快所以头发很快吹干。
1,水上方气流速度变快，加快水蒸发。
3,电吹风吹出的热风加快了空气流动，提高温度，加快了水分蒸发，使头发被吹干
3,吹风使风速流通，热风加快表面水分散失，挥发使头发吹干
3,①吹风机的空气温度较高，可以加快水的蒸发②吹风机加快空气流动速度，使水蒸发变快
1,头发上的水发生了汽化
2,吹风时风速变快，加快头发上水的蒸发周围空气温度高
3,蒸发吸热吹风机吹风加快空气流速，蒸发加快，水变热温度上升，蒸发加快
2,头发是湿的因为头发上有冷的小水珠在受到由吹风机的暖空气后受热蒸发，故头发吹干
1,蒸发吸热，所以感到冷，头发是黑色，黑色吸热，所以不冷，速率大所以干的快。
3,吹风机加速空气流动，且使头发周围空气温度升高，促进头发蒸发的速度变快。
3,冷：水蒸发吸热，头发热量减少，感觉很冷。吹风机：①吹风机吹出的风风速大，加快头发表面水的蒸发。②温度50℃，水蒸发速度快。
4,1.水汽化吸热，所以感觉冷；2。提高液体温度，液体上方的空气流速，能加快液体汽化速度，能很快吹干。
4,使用吹风机的温暖的空气吹头，加快了头发上液体的表面上方空气流速，以及提高了液体的温度，加快了水的蒸发，所以很快就吹干了。
3,感觉很冷：水蒸发吸热。头发吹干：增加液体表面流速和温度可以加快水的蒸发。
2,①产生了汽化现象②吹风机加快了液体表面流速，加速了汽化的速度，产生的蒸发现象不需温度的高低，与空气温度无关。
3,吹风机可以增大头发表面空气流速，提高头发温度，从而加速头发上水分蒸发，快速吹干。
4,头发是湿的，蒸发吸热，所以小红感觉很冷。吹风机吹出温暖的空气，加快液体上方空气流速，提高液体温度，加速水汽化，因此水很快吹干了。
4,①感觉冷：头上的水蒸发吸热②吹干：吹风机使头发上方的空气流速变快，并使水的温度升高，加速了水的蒸发，所以头发很快吹干。
4,吹风机可以加快空气流速，50℃大于常温，所以温度升高了，升温于加快空气流速能使头发里的水分加快蒸发。
4,头发的水如果自然汽化，会很慢，吹风机加快液体上方空气流速，使液体温度升高，所以汽化加快，很快将头发吹干。
1,吹风机加快水的蒸发
4,头发中有水分，汽化吸热，所以小红感到冷。吹风机可以使水分表面空气流速增加，水温度提高，加速水的汽化，所以头发很快会干。
1,水发生蒸发现象，吹风机提高液体温度，同时加快液体表面空气流速，因此蒸发变快。
4,感觉冷：湿头发在常温室内汽化吸热，使头发温度降低，所以感觉冷。吹干了：吹风机吹出温暖的风，加快了头发表面空气流速，提高了头发温度，加快了头发上水的汽化，所以头发很快吹干了
2,水在头发上，吹风机吹出的风会加快液体上方空气流速，使头发上的水更快蒸发。
2,头发上的小水珠因被热风吹，吸热汽化成水蒸气。
